DATE & TIME,date_x,time_x,wave_direction (°),wave_height (m),sea_surface_temperature (°C),ocean_current_velocity (km/h),date_y,time_y,temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),cloud_cover (%),wind_speed_100m (km/h),wind_direction_100m (°),Cyclone
2022-01-01T00:00,01-01-2022,00:00,160,0.52,23.2,0.3,01-01-2022,00:00,23.2,87.0,1017.0,71.0,22.6,53,0
2022-01-01T01:00,01-01-2022,01:00,159,0.56,24.3,4.6,01-01-2022,01:00,23.0,80.0,1017.1,56.0,22.4,48,0
2022-01-01T02:00,01-01-2022,02:00,159,0.6,26.0,1.8,01-01-2022,02:00,23.0,76.0,1016.7,26.0,25.7,47,0
2022-01-01T03:00,01-01-2022,03:00,158,0.58,26.3,1.5,01-01-2022,03:00,22.8,73.0,1016.4,32.0,28.5,47,0
2022-01-01T04:00,01-01-2022,04:00,156,0.54,28.2,1.5,01-01-2022,04:00,22.7,71.0,1016.2,17.0,29.8,45,0
2022-01-01T05:00,01-01-2022,05:00,155,0.52,27.5,2.0,01-01-2022,05:00,22.3,72.0,1015.6,6.0,30.3,46,0
2022-01-01T06:00,01-01-2022,06:00,150,0.52,23.6,5.1,01-01-2022,06:00,22.1,74.0,1015.4,24.0,30.3,48,0
2022-01-01T07:00,01-01-2022,07:00,144,0.5,26.4,1.6,01-01-2022,07:00,21.8,75.0,1015.2,88.0,31.1,47,0
2022-01-01T08:00,01-01-2022,08:00,139,0.5,27.4,2.2,01-01-2022,08:00,21.8,75.0,1015.6,36.0,30.6,46,0
2022-01-01T09:00,01-01-2022,09:00,137,0.5,24.5,1.1,01-01-2022,09:00,21.7,75.0,1016.0,99.0,29.6,50,0
2022-01-01T10:00,01-01-2022,10:00,134,0.48,24.7,0.0,01-01-2022,10:00,21.7,75.0,1016.8,100.0,29.4,54,0
2022-01-01T11:00,01-01-2022,11:00,132,0.48,29.9,0.6,01-01-2022,11:00,21.8,74.0,1017.5,100.0,29.9,54,0
2022-01-01T12:00,01-01-2022,12:00,131,0.5,27.0,0.7,01-01-2022,12:00,22.2,72.0,1017.9,100.0,28.6,54,0
2022-01-01T13:00,01-01-2022,13:00,130,0.52,27.5,0.4,01-01-2022,13:00,23.3,69.0,1018.2,73.0,26.5,59,0
2022-01-01T14:00,01-01-2022,14:00,129,0.54,30.3,0.6,01-01-2022,14:00,24.3,68.0,1017.8,81.0,24.5,68,0
2022-01-01T15:00,01-01-2022,15:00,132,0.52,24.2,1.6,01-01-2022,15:00,24.8,69.0,1016.7,1.0,25.0,78,0
2022-01-01T16:00,01-01-2022,16:00,134,0.5,23.8,2.9,01-01-2022,16:00,24.2,75.0,1015.7,3.0,27.0,91,0
2022-01-01T17:00,01-01-2022,17:00,137,0.48,30.1,3.6,01-01-2022,17:00,23.8,78.0,1014.6,0.0,28.1,91,0
2022-01-01T18:00,01-01-2022,18:00,143,0.46,22.1,3.8,01-01-2022,18:00,23.8,80.0,1014.0,0.0,26.7,92,0
